step,tokens_seen,train_loss,val_loss,learning_rate
1,8192,4.464911,4.806420,0.00000015
20,163840,4.311895,4.806420,0.00000300
40,327680,4.101138,4.806420,0.00000600
60,491520,4.042222,4.806420,0.00000900
80,655360,3.883696,4.806420,0.00001200
100,819200,4.086341,4.806420,0.00001500
120,983040,3.477587,4.806420,0.00001800
140,1146880,3.860237,4.806420,0.00002100
160,1310720,3.695041,4.806420,0.00002400
180,1474560,3.592360,4.806420,0.00002700
200,1638400,3.480237,3.581182,0.00003000
220,1802240,3.569419,3.581182,0.00003000
240,1966080,3.384494,3.581182,0.00003000
260,2129920,3.355679,3.581182,0.00003000
280,2293760,3.313046,3.581182,0.00003000
300,2457600,3.262130,3.581182,0.00002999
320,2621440,3.328663,3.581182,0.00002999
340,2785280,3.573266,3.581182,0.00002999
360,2949120,3.184905,3.581182,0.00002998
380,3112960,3.205958,3.581182,0.00002998
400,3276800,3.225192,3.313061,0.00002997
420,3440640,3.417324,3.313061,0.00002997
440,3604480,3.171138,3.313061,0.00002996
460,3768320,3.362652,3.313061,0.00002995
480,3932160,3.047645,3.313061,0.00002995
500,4096000,3.132815,3.313061,0.00002994
520,4259840,3.174077,3.313061,0.00002993
540,4423680,3.057648,3.313061,0.00002992
560,4587520,3.154170,3.313061,0.00002991
580,4751360,3.012534,3.313061,0.00002990
600,4915200,3.327469,3.103629,0.00002989
620,5079040,3.048759,3.103629,0.00002988
640,5242880,3.261811,3.103629,0.00002987
660,5406720,3.141947,3.103629,0.00002985
680,5570560,3.129214,3.103629,0.00002984
700,5734400,3.083868,3.103629,0.00002983
720,5898240,2.903519,3.103629,0.00002981
740,6062080,3.081128,3.103629,0.00002980
760,6225920,3.158858,3.103629,0.00002978
780,6389760,2.912250,3.103629,0.00002977
800,6553600,2.981845,3.304822,0.00002975
820,6717440,3.151389,3.304822,0.00002973
840,6881280,2.950710,3.304822,0.00002972
860,7045120,2.879970,3.304822,0.00002970
880,7208960,3.085164,3.304822,0.00002968
900,7372800,2.706294,3.304822,0.00002966
920,7536640,2.926074,3.304822,0.00002964
940,7700480,3.069382,3.304822,0.00002962
960,7864320,3.013457,3.304822,0.00002960
980,8028160,3.146148,3.304822,0.00002958
1000,8192000,2.865539,3.023658,0.00002956
1020,8355840,2.932677,3.023658,0.00002954
1040,8519680,3.002047,3.023658,0.00002951
1060,8683520,3.214440,3.023658,0.00002949
1080,8847360,3.030822,3.023658,0.00002947
1100,9011200,3.076368,3.023658,0.00002944
1120,9175040,3.091382,3.023658,0.00002942
1140,9338880,2.953988,3.023658,0.00002939
1160,9502720,3.133157,3.023658,0.00002937
1180,9666560,2.733175,3.023658,0.00002934
1200,9830400,2.878352,2.867729,0.00002931
1220,9994240,3.102534,2.867729,0.00002928
1240,10158080,2.816824,2.867729,0.00002926
1260,10321920,2.784947,2.867729,0.00002923
1280,10485760,2.639537,2.867729,0.00002920
1300,10649600,3.131260,2.867729,0.00002917
1320,10813440,3.227932,2.867729,0.00002914
1340,10977280,2.420297,2.867729,0.00002911
1360,11141120,3.140633,2.867729,0.00002908
1380,11304960,2.915538,2.867729,0.00002905
1400,11468800,2.943545,2.762248,0.00002901
1420,11632640,2.546315,2.762248,0.00002898
1440,11796480,2.793006,2.762248,0.00002895
1460,11960320,2.715432,2.762248,0.00002891
1480,12124160,2.717521,2.762248,0.00002888
1500,12288000,2.977786,2.762248,0.00002884
1520,12451840,3.164237,2.762248,0.00002881
1540,12615680,3.158486,2.762248,0.00002877
1560,12779520,2.810065,2.762248,0.00002874
1580,12943360,2.884479,2.762248,0.00002870
1600,13107200,2.894112,2.864510,0.00002866
1620,13271040,2.598856,2.864510,0.00002863
1640,13434880,2.944861,2.864510,0.00002859
1660,13598720,2.899136,2.864510,0.00002855
1680,13762560,2.883637,2.864510,0.00002851
1700,13926400,2.908235,2.864510,0.00002847
1720,14090240,2.985730,2.864510,0.00002843
1740,14254080,2.705780,2.864510,0.00002839
1760,14417920,2.939247,2.864510,0.00002835
1780,14581760,2.812488,2.864510,0.00002831
1800,14745600,2.807338,2.910885,0.00002826
1820,14909440,3.091399,2.910885,0.00002822
1840,15073280,2.895706,2.910885,0.00002818
1860,15237120,2.603221,2.910885,0.00002813
1880,15400960,2.981883,2.910885,0.00002809
1900,15564800,2.593275,2.910885,0.00002804
1920,15728640,2.753034,2.910885,0.00002800
1940,15892480,3.114561,2.910885,0.00002795
1960,16056320,2.748318,2.910885,0.00002791
1980,16220160,2.426478,2.910885,0.00002786
2000,16384000,2.913816,3.130635,0.00002781
2020,16547840,2.940747,3.130635,0.00002777
2040,16711680,2.860143,3.130635,0.00002772
2060,16875520,2.283882,3.130635,0.00002767
2080,17039360,2.622685,3.130635,0.00002762
