step,tokens_seen,train_loss,val_loss,learning_rate
1,8192,2.622872,2.783529,0.00000010
20,163840,2.470936,2.783529,0.00000200
40,327680,2.468934,2.783529,0.00000400
60,491520,2.245240,2.783529,0.00000600
80,655360,2.079314,2.783529,0.00000800
100,819200,2.475266,2.445494,0.00001000
120,983040,2.780222,2.445494,0.00001000
140,1146880,2.841459,2.445494,0.00001000
160,1310720,2.816715,2.445494,0.00001000
180,1474560,2.830161,2.445494,0.00000999
200,1638400,2.648751,2.487967,0.00000999
220,1802240,2.448605,2.487967,0.00000999
240,1966080,2.561703,2.487967,0.00000998
260,2129920,2.696749,2.487967,0.00000998
280,2293760,2.383407,2.487967,0.00000997
300,2457600,2.560551,2.569322,0.00000996
320,2621440,2.639334,2.569322,0.00000996
340,2785280,2.478338,2.569322,0.00000995
360,2949120,2.465632,2.569322,0.00000994
380,3112960,2.542456,2.569322,0.00000993
400,3276800,2.429901,2.579340,0.00000992
420,3440640,2.729151,2.579340,0.00000991
440,3604480,2.428468,2.579340,0.00000989
460,3768320,2.183799,2.579340,0.00000988
480,3932160,2.670665,2.579340,0.00000987
500,4096000,2.538551,2.422340,0.00000985
520,4259840,2.415133,2.422340,0.00000984
540,4423680,2.829028,2.422340,0.00000982
560,4587520,2.600484,2.422340,0.00000981
580,4751360,2.831755,2.422340,0.00000979
600,4915200,2.352564,2.679737,0.00000977
620,5079040,2.327938,2.679737,0.00000975
640,5242880,2.609320,2.679737,0.00000973
660,5406720,2.040822,2.679737,0.00000971
680,5570560,2.434903,2.679737,0.00000969
700,5734400,2.553780,2.682736,0.00000967
720,5898240,2.520447,2.682736,0.00000965
740,6062080,2.407158,2.682736,0.00000963
760,6225920,2.520596,2.682736,0.00000960
780,6389760,2.786678,2.682736,0.00000958
800,6553600,2.669976,2.800282,0.00000955
820,6717440,2.428832,2.800282,0.00000953
840,6881280,2.727085,2.800282,0.00000950
860,7045120,2.624404,2.800282,0.00000948
880,7208960,2.587396,2.800282,0.00000945
900,7372800,2.264067,2.570309,0.00000942
920,7536640,2.487558,2.570309,0.00000939
940,7700480,3.047142,2.570309,0.00000936
960,7864320,2.280455,2.570309,0.00000933
980,8028160,2.443354,2.570309,0.00000930
1000,8192000,2.452708,2.419986,0.00000927
1020,8355840,2.722580,2.419986,0.00000924
1040,8519680,2.617568,2.419986,0.00000921
1060,8683520,2.631781,2.419986,0.00000917
1080,8847360,2.590853,2.419986,0.00000914
1100,9011200,2.510735,2.705861,0.00000911
1120,9175040,2.578237,2.705861,0.00000907
1140,9338880,2.763811,2.705861,0.00000904
1160,9502720,2.729260,2.705861,0.00000900
1180,9666560,2.487377,2.705861,0.00000896
1200,9830400,2.629488,2.654948,0.00000893
1220,9994240,2.533729,2.654948,0.00000889
1240,10158080,2.343553,2.654948,0.00000885
1260,10321920,2.308760,2.654948,0.00000881
1280,10485760,2.273551,2.654948,0.00000877
1300,10649600,2.433777,2.479371,0.00000873
1320,10813440,2.685368,2.479371,0.00000869
1340,10977280,2.606460,2.479371,0.00000865
1360,11141120,2.516170,2.479371,0.00000861
1380,11304960,2.643680,2.479371,0.00000857
1400,11468800,2.496562,2.644416,0.00000853
1420,11632640,2.571419,2.644416,0.00000848
1440,11796480,2.376271,2.644416,0.00000844
1460,11960320,2.491700,2.644416,0.00000839
1480,12124160,2.711468,2.644416,0.00000835
1500,12288000,2.430535,2.534179,0.00000831
1520,12451840,3.015979,2.534179,0.00000826
1540,12615680,2.560806,2.534179,0.00000821
1560,12779520,2.638012,2.534179,0.00000817
1580,12943360,2.447954,2.534179,0.00000812
1600,13107200,2.474361,2.614204,0.00000807
1620,13271040,2.173584,2.614204,0.00000803
1640,13434880,2.235243,2.614204,0.00000798
1660,13598720,2.683222,2.614204,0.00000793
1680,13762560,2.278179,2.614204,0.00000788
1700,13926400,2.267911,2.585376,0.00000783
1720,14090240,2.319833,2.585376,0.00000778
1740,14254080,2.298748,2.585376,0.00000773
1760,14417920,2.953485,2.585376,0.00000768
1780,14581760,2.145166,2.585376,0.00000763
1800,14745600,2.669535,2.568319,0.00000758
1820,14909440,2.496165,2.568319,0.00000753
1840,15073280,2.153063,2.568319,0.00000748
1860,15237120,2.724632,2.568319,0.00000743
1880,15400960,2.422171,2.568319,0.00000737
1900,15564800,2.663243,2.539093,0.00000732
1920,15728640,2.445564,2.539093,0.00000727
1940,15892480,2.666166,2.539093,0.00000722
1960,16056320,2.618696,2.539093,0.00000716
1980,16220160,2.605272,2.539093,0.00000711
2000,16384000,2.363830,2.732515,0.00000705
2020,16547840,2.345732,2.732515,0.00000700
2040,16711680,2.265352,2.732515,0.00000695
2060,16875520,2.916688,2.732515,0.00000689
2080,17039360,2.513739,2.732515,0.00000684
2100,17203200,2.698349,2.475109,0.00000678
2120,17367040,2.549803,2.475109,0.00000672
2140,17530880,2.262563,2.475109,0.00000667
2160,17694720,2.481409,2.475109,0.00000661
2180,17858560,2.304224,2.475109,0.00000656
2200,18022400,2.674688,2.616047,0.00000650
2220,18186240,2.344616,2.616047,0.00000645
2240,18350080,2.723050,2.616047,0.00000639
2260,18513920,2.007044,2.616047,0.00000633
2280,18677760,2.418343,2.616047,0.00000628
2300,18841600,2.615193,2.535531,0.00000622
2320,19005440,2.321363,2.535531,0.00000616
2340,19169280,2.540275,2.535531,0.00000610
2360,19333120,2.488053,2.535531,0.00000605
2380,19496960,2.465947,2.535531,0.00000599
2400,19660800,2.396600,2.575771,0.00000593
2420,19824640,2.670888,2.575771,0.00000587
2440,19988480,2.410370,2.575771,0.00000582
2460,20152320,2.430257,2.575771,0.00000576
2480,20316160,2.705350,2.575771,0.00000570
2500,20480000,2.251714,2.693227,0.00000564
2520,20643840,2.424366,2.693227,0.00000559
2540,20807680,2.537281,2.693227,0.00000553
2560,20971520,2.509126,2.693227,0.00000547
2580,21135360,2.497626,2.693227,0.00000541
2600,21299200,2.393339,2.514407,0.00000536
2620,21463040,2.401379,2.514407,0.00000530
2640,21626880,1.879244,2.514407,0.00000524
2660,21790720,2.976687,2.514407,0.00000518
2680,21954560,1.918311,2.514407,0.00000513
2700,22118400,2.351931,2.552508,0.00000507
2720,22282240,2.515015,2.552508,0.00000501
2740,22446080,2.615325,2.552508,0.00000495
2760,22609920,2.422435,2.552508,0.00000490
2780,22773760,2.761928,2.552508,0.00000484
2800,22937600,2.510546,2.531205,0.00000478
2820,23101440,2.346867,2.531205,0.00000472
2840,23265280,2.057499,2.531205,0.00000467
2860,23429120,2.770190,2.531205,0.00000461
2880,23592960,2.267218,2.531205,0.00000455
2900,23756800,2.429328,2.550236,0.00000450
2920,23920640,2.113617,2.550236,0.00000444
2940,24084480,2.532511,2.550236,0.00000439
2960,24248320,2.438014,2.550236,0.00000433
2980,24412160,2.160140,2.550236,0.00000428
3000,24576000,2.508553,2.435700,0.00000422
3020,24739840,2.686036,2.435700,0.00000416
3040,24903680,2.489304,2.435700,0.00000411
3060,25067520,2.326035,2.435700,0.00000405
3080,25231360,2.248324,2.435700,0.00000400
3100,25395200,2.539656,2.732723,0.00000395
3120,25559040,2.657881,2.732723,0.00000389
3140,25722880,2.665334,2.732723,0.00000384
3160,25886720,2.756104,2.732723,0.00000378
3180,26050560,2.477014,2.732723,0.00000373
3200,26214400,2.447210,2.451949,0.00000368
3220,26378240,2.659973,2.451949,0.00000363
3240,26542080,2.466848,2.451949,0.00000357
3260,26705920,2.595530,2.451949,0.00000352
3280,26869760,2.266719,2.451949,0.00000347
3300,27033600,2.371034,2.500750,0.00000342
3320,27197440,2.654681,2.500750,0.00000337
3340,27361280,2.424684,2.500750,0.00000332
3360,27525120,2.703527,2.500750,0.00000327
3380,27688960,2.437984,2.500750,0.00000322
3400,27852800,2.430587,2.326078,0.00000317
3420,28016640,2.669660,2.326078,0.00000312
3440,28180480,2.268448,2.326078,0.00000307
3460,28344320,2.355563,2.326078,0.00000302
3480,28508160,2.664409,2.326078,0.00000297
3500,28672000,2.642734,2.568144,0.00000293
3520,28835840,2.188742,2.568144,0.00000288
3540,28999680,2.728943,2.568144,0.00000283
3560,29163520,2.586630,2.568144,0.00000279
3580,29327360,2.495934,2.568144,0.00000274
3600,29491200,2.632588,2.442327,0.00000269
3620,29655040,2.785518,2.442327,0.00000265
3640,29818880,2.301837,2.442327,0.00000261
3660,29982720,2.294710,2.442327,0.00000256
3680,30146560,2.592821,2.442327,0.00000252
3700,30310400,2.484426,2.641084,0.00000247
3720,30474240,2.549178,2.641084,0.00000243
3740,30638080,2.435666,2.641084,0.00000239
3760,30801920,2.410858,2.641084,0.00000235
3780,30965760,2.837659,2.641084,0.00000231
3800,31129600,2.456418,2.723333,0.00000227
3820,31293440,2.461305,2.723333,0.00000223
3840,31457280,2.195026,2.723333,0.00000219
3860,31621120,2.815890,2.723333,0.00000215
3880,31784960,2.788655,2.723333,0.00000211
3900,31948800,2.404133,2.656541,0.00000207
3920,32112640,2.283382,2.656541,0.00000204
3940,32276480,2.443715,2.656541,0.00000200
3960,32440320,2.371270,2.656541,0.00000196
3980,32604160,2.318992,2.656541,0.00000193
4000,32768000,2.644437,2.448972,0.00000189
4020,32931840,2.483629,2.448972,0.00000186
4040,33095680,2.597240,2.448972,0.00000183
4060,33259520,2.132022,2.448972,0.00000179
4080,33423360,2.549937,2.448972,0.00000176
4100,33587200,2.425414,2.729056,0.00000173
4120,33751040,2.938957,2.729056,0.00000170
4140,33914880,2.421899,2.729056,0.00000167
4160,34078720,2.330847,2.729056,0.00000164
4180,34242560,2.503871,2.729056,0.00000161
4200,34406400,2.426514,2.576482,0.00000158
4220,34570240,2.410640,2.576482,0.00000155
4240,34734080,2.885201,2.576482,0.00000152
4260,34897920,2.303101,2.576482,0.00000150
4280,35061760,2.077520,2.576482,0.00000147
4300,35225600,2.609242,2.758328,0.00000145
4320,35389440,2.634767,2.758328,0.00000142
4340,35553280,2.163007,2.758328,0.00000140
4360,35717120,2.361802,2.758328,0.00000137
4380,35880960,2.680766,2.758328,0.00000135
4400,36044800,2.613548,2.551871,0.00000133
4420,36208640,2.041437,2.551871,0.00000131
4440,36372480,2.353919,2.551871,0.00000129
4460,36536320,2.191081,2.551871,0.00000127
4480,36700160,2.186201,2.551871,0.00000125
4500,36864000,2.419680,2.413082,0.00000123
4520,37027840,2.716656,2.413082,0.00000121
4540,37191680,2.205794,2.413082,0.00000119
4560,37355520,2.402560,2.413082,0.00000118
4580,37519360,2.523567,2.413082,0.00000116
4600,37683200,2.195972,2.472627,0.00000115
4620,37847040,2.421660,2.472627,0.00000113
4640,38010880,2.656288,2.472627,0.00000112
4660,38174720,2.511886,2.472627,0.00000111
4680,38338560,2.460774,2.472627,0.00000109
4700,38502400,2.428525,2.555465,0.00000108
4720,38666240,2.460356,2.555465,0.00000107
4740,38830080,2.406352,2.555465,0.00000106
4760,38993920,2.467329,2.555465,0.00000105
4780,39157760,2.438186,2.555465,0.00000104
4800,39321600,2.320976,2.484885,0.00000104
4820,39485440,2.471059,2.484885,0.00000103
4840,39649280,2.568585,2.484885,0.00000102
4860,39813120,2.303649,2.484885,0.00000102
4880,39976960,2.284414,2.484885,0.00000101
4900,40140800,2.482954,2.703953,0.00000101
4920,40304640,2.585624,2.703953,0.00000101
4940,40468480,2.501216,2.703953,0.00000100
4960,40632320,2.469299,2.703953,0.00000100
4980,40796160,2.490469,2.703953,0.00000100
5000,40960000,2.387211,2.643669,0.00000100
