step,tokens_seen,train_loss,val_loss,learning_rate
1,8192,10.981668,10.993757,0.00000100
20,163840,10.247605,10.993757,0.00002000
40,327680,9.315753,10.993757,0.00004000
60,491520,8.741630,10.993757,0.00006000
80,655360,8.085366,10.993757,0.00008000
100,819200,7.596876,10.993757,0.00010000
120,983040,7.452597,10.993757,0.00010000
140,1146880,7.346417,10.993757,0.00010000
160,1310720,7.109151,10.993757,0.00009999
180,1474560,7.321922,10.993757,0.00009999
200,1638400,7.144121,6.970226,0.00009998
220,1802240,6.899784,6.970226,0.00009997
240,1966080,6.856181,6.970226,0.00009996
260,2129920,6.717611,6.970226,0.00009994
280,2293760,6.535305,6.970226,0.00009993
300,2457600,6.753356,6.970226,0.00009991
320,2621440,6.799690,6.970226,0.00009989
340,2785280,6.646507,6.970226,0.00009987
360,2949120,6.513537,6.970226,0.00009985
380,3112960,6.500855,6.970226,0.00009982
400,3276800,6.436791,6.572869,0.00009980
420,3440640,6.401745,6.572869,0.00009977
440,3604480,6.309284,6.572869,0.00009974
460,3768320,6.382916,6.572869,0.00009971
480,3932160,6.272978,6.572869,0.00009967
500,4096000,6.197421,6.572869,0.00009964
520,4259840,6.402500,6.572869,0.00009960
540,4423680,6.241281,6.572869,0.00009956
560,4587520,6.387504,6.572869,0.00009952
580,4751360,6.121908,6.572869,0.00009948
600,4915200,6.314811,6.314740,0.00009943
620,5079040,6.192029,6.314740,0.00009939
640,5242880,6.239213,6.314740,0.00009934
660,5406720,6.036236,6.314740,0.00009929
680,5570560,6.126345,6.314740,0.00009924
700,5734400,6.050694,6.314740,0.00009919
720,5898240,6.135465,6.314740,0.00009913
740,6062080,5.948806,6.314740,0.00009908
760,6225920,6.090176,6.314740,0.00009902
780,6389760,6.065679,6.314740,0.00009896
800,6553600,6.119730,6.032094,0.00009889
820,6717440,6.009732,6.032094,0.00009883
840,6881280,6.123762,6.032094,0.00009876
860,7045120,6.197155,6.032094,0.00009870
880,7208960,6.045020,6.032094,0.00009863
900,7372800,6.051958,6.032094,0.00009856
920,7536640,6.045940,6.032094,0.00009849
940,7700480,5.883119,6.032094,0.00009841
960,7864320,6.038765,6.032094,0.00009833
980,8028160,5.829835,6.032094,0.00009826
1000,8192000,5.932734,5.890937,0.00009818
1020,8355840,6.072621,5.890937,0.00009810
1040,8519680,5.915554,5.890937,0.00009801
1060,8683520,5.878282,5.890937,0.00009793
1080,8847360,5.901291,5.890937,0.00009784
1100,9011200,6.120499,5.890937,0.00009775
1120,9175040,5.868044,5.890937,0.00009766
1140,9338880,5.829076,5.890937,0.00009757
1160,9502720,5.689009,5.890937,0.00009748
1180,9666560,5.794910,5.890937,0.00009738
1200,9830400,5.904850,5.734656,0.00009729
1220,9994240,5.877925,5.734656,0.00009719
1240,10158080,5.809825,5.734656,0.00009709
1260,10321920,5.837800,5.734656,0.00009699
1280,10485760,5.745634,5.734656,0.00009688
1300,10649600,5.652185,5.734656,0.00009678
1320,10813440,5.674842,5.734656,0.00009667
1340,10977280,5.707851,5.734656,0.00009656
1360,11141120,5.913609,5.734656,0.00009645
1380,11304960,5.719967,5.734656,0.00009634
1400,11468800,5.717200,5.720270,0.00009622
1420,11632640,5.771184,5.720270,0.00009611
1440,11796480,5.700738,5.720270,0.00009599
1460,11960320,5.670230,5.720270,0.00009587
1480,12124160,5.631068,5.720270,0.00009575
1500,12288000,5.583780,5.720270,0.00009563
1520,12451840,5.735533,5.720270,0.00009551
1540,12615680,5.508078,5.720270,0.00009538
1560,12779520,5.697907,5.720270,0.00009526
1580,12943360,5.580276,5.720270,0.00009513
1600,13107200,5.595037,5.527110,0.00009500
1620,13271040,5.421672,5.527110,0.00009487
1640,13434880,5.575800,5.527110,0.00009473
1660,13598720,5.616266,5.527110,0.00009460
1680,13762560,5.663685,5.527110,0.00009446
1700,13926400,5.632256,5.527110,0.00009432
1720,14090240,5.684282,5.527110,0.00009418
1740,14254080,5.808927,5.527110,0.00009404
1760,14417920,5.707608,5.527110,0.00009390
1780,14581760,5.449817,5.527110,0.00009376
1800,14745600,5.631291,5.586532,0.00009361
1820,14909440,5.561022,5.586532,0.00009346
1840,15073280,5.485126,5.586532,0.00009331
1860,15237120,5.549731,5.586532,0.00009316
1880,15400960,5.486199,5.586532,0.00009301
1900,15564800,5.279042,5.586532,0.00009286
1920,15728640,5.549079,5.586532,0.00009270
1940,15892480,5.368240,5.586532,0.00009254
1960,16056320,5.472503,5.586532,0.00009239
1980,16220160,5.599847,5.586532,0.00009223
2000,16384000,5.413408,5.397142,0.00009207
2020,16547840,5.586025,5.397142,0.00009190
2040,16711680,5.527335,5.397142,0.00009174
2060,16875520,5.310765,5.397142,0.00009157
2080,17039360,5.505057,5.397142,0.00009141
2100,17203200,5.476428,5.397142,0.00009124
2120,17367040,5.361093,5.397142,0.00009107
2140,17530880,5.325895,5.397142,0.00009090
2160,17694720,5.356967,5.397142,0.00009072
2180,17858560,5.551637,5.397142,0.00009055
2200,18022400,5.319587,5.509047,0.00009037
2220,18186240,5.322035,5.509047,0.00009020
2240,18350080,5.522109,5.509047,0.00009002
2260,18513920,5.551147,5.509047,0.00008984
2280,18677760,5.410958,5.509047,0.00008965
2300,18841600,5.315963,5.509047,0.00008947
2320,19005440,5.550491,5.509047,0.00008929
2340,19169280,5.477081,5.509047,0.00008910
2360,19333120,5.408620,5.509047,0.00008892
2380,19496960,5.619482,5.509047,0.00008873
2400,19660800,5.405442,5.395348,0.00008854
2420,19824640,5.527607,5.395348,0.00008835
2440,19988480,5.250980,5.395348,0.00008815
2460,20152320,5.275222,5.395348,0.00008796
2480,20316160,5.447570,5.395348,0.00008776
2500,20480000,5.314923,5.395348,0.00008757
2520,20643840,5.218851,5.395348,0.00008737
2540,20807680,5.462301,5.395348,0.00008717
2560,20971520,5.338867,5.395348,0.00008697
2580,21135360,5.438694,5.395348,0.00008677
2600,21299200,5.211105,5.315364,0.00008657
2620,21463040,5.336728,5.315364,0.00008636
2640,21626880,5.244085,5.315364,0.00008616
2660,21790720,5.264861,5.315364,0.00008595
2680,21954560,5.331223,5.315364,0.00008574
2700,22118400,5.439039,5.315364,0.00008553
2720,22282240,5.460075,5.315364,0.00008532
